Experiment,Test Accuracy,Precision,Recall,F1 Score,Model,Epoch
1,0.8113207547169812,0.8036764705882353,0.8230158730158731,0.8088383838383839,CNN,10
2,0.6415094339622641,0.7258064516129031,0.5869047619047619,0.5845117845117845,CNN,10
3,0.7547169811320755,0.7365079365079366,0.7365079365079366,0.7365079365079366,CNN,20
4,0.7358490566037735,0.716702734605548,0.7158730158730159,0.7130274209889859,CNN,30
5,0.660377358490566,0.7261648745519712,0.6222222222222222,0.6424242424242425,DNN,10
6,0.6226415094339622,0.6501610305958132,0.6424603174603174,0.6267696267696268,DNN,30
